total_reward,episode_length,epsilon,game_won,timeout,final_territory,final_army,episode,timestamp
-35.03000000000162,5000,0.7822236754458713,0.0,True,12,397,9,1749848373.3758404
-34.06000000000188,5000,0.7822236754458713,0.0,True,13,394,10,1749848373.3772316
-33.960000000001784,5000,0.7822236754458713,0.0,True,13,404,11,1749848373.3778274
-36.21000000000151,5000,0.7822236754458713,0.0,True,11,379,12,1749848373.3783338
-35.25000000000134,5000,0.7822236754458713,0.0,True,12,375,13,1749848373.378836
-36.130000000001395,5000,0.7822236754458713,0.0,True,11,387,14,1749848373.3793497
-36.26000000000109,5000,0.7822236754458713,0.0,True,11,374,15,1749848373.3798797
-34.04000000000193,5000,0.7822236754458713,0.0,True,13,396,16,1749848373.3803825
-0.01,1,0.778312557068642,0.0,False,12,397,17,1749848373.442016
-0.01,1,0.778312557068642,0.0,False,13,394,18,1749848373.4430673
-0.01,1,0.778312557068642,0.0,False,13,404,19,1749848373.4435375
-0.01,1,0.778312557068642,0.0,False,11,379,20,1749848373.443997
-0.01,1,0.778312557068642,0.0,False,12,375,21,1749848373.4444718
-0.01,1,0.778312557068642,0.0,False,11,387,22,1749848373.445008
-0.01,1,0.778312557068642,0.0,False,11,374,23,1749848373.445537
-0.01,1,0.778312557068642,0.0,False,13,396,24,1749848373.4459827
-35.16000000000177,5000,0.6866430931872001,0.0,True,12,384,25,1749848663.1154048
-34.960000000001514,5000,0.6866430931872001,0.0,True,12,404,26,1749848663.1169538
-34.9600000000016,5000,0.6866430931872001,0.0,True,12,404,27,1749848663.1174853
-33.97000000000195,5000,0.6866430931872001,0.0,True,13,403,28,1749848663.1180105
-36.33000000000122,5000,0.6866430931872001,0.0,True,11,367,29,1749848663.118488
-33.950000000001744,5000,0.6866430931872001,0.0,True,13,405,30,1749848663.1189792
-34.960000000001635,5000,0.6866430931872001,0.0,True,12,404,31,1749848663.119465
-33.890000000001834,5000,0.6866430931872001,0.0,True,13,411,32,1749848663.1199625
-0.01,1,0.6866430931872001,0.0,False,12,384,33,1749848663.1844485
-0.01,1,0.6866430931872001,0.0,False,12,404,34,1749848663.1854665
-0.01,1,0.6866430931872001,0.0,False,12,404,35,1749848663.18594
-0.01,1,0.6866430931872001,0.0,False,13,403,36,1749848663.1863582
-0.01,1,0.6866430931872001,0.0,False,11,367,37,1749848663.1867597
-0.01,1,0.6866430931872001,0.0,False,13,405,38,1749848663.1872528
-0.01,1,0.6866430931872001,0.0,False,12,404,39,1749848663.1876936
-0.01,1,0.6866430931872001,0.0,False,13,411,40,1749848663.188087
-35.06000000000157,5000,0.6057704364907278,0.0,True,12,394,41,1749848958.7641766
-36.00000000000142,5000,0.6057704364907278,0.0,True,11,400,42,1749848958.765498
-33.87000000000203,5000,0.6057704364907278,0.0,True,13,413,43,1749848958.766142
-33.810000000001814,5000,0.6057704364907278,0.0,True,13,419,44,1749848958.7666829
-34.960000000001806,5000,0.6057704364907278,0.0,True,12,404,45,1749848958.767214
-33.89000000000177,5000,0.6057704364907278,0.0,True,13,411,46,1749848958.767714
-33.90000000000175,5000,0.6057704364907278,0.0,True,13,410,47,1749848958.7682393
-37.1400000000012,5000,0.6057704364907278,0.0,True,10,386,48,1749848958.7687342
-0.01,1,0.6057704364907278,0.0,False,12,394,49,1749848958.8373215
-0.01,1,0.6057704364907278,0.0,False,11,400,50,1749848958.8383605
-0.01,1,0.6057704364907278,0.0,False,13,413,51,1749848958.8389301
-0.01,1,0.6057704364907278,0.0,False,13,419,52,1749848958.8393862
-0.01,1,0.6057704364907278,0.0,False,12,404,53,1749848958.8398056
-0.01,1,0.6057704364907278,0.0,False,13,411,54,1749848958.8402207
-0.01,1,0.6057704364907278,0.0,False,13,410,55,1749848958.840656
-0.01,1,0.6057704364907278,0.0,False,10,386,56,1749848958.8410606
-35.02000000000176,5000,0.5344229416520513,0.0,True,12,398,57,1749849256.6598916
-33.84000000000177,5000,0.5344229416520513,0.0,True,13,416,58,1749849256.6614547
-34.92000000000161,5000,0.5344229416520513,0.0,True,12,408,59,1749849256.6620195
-34.97000000000179,5000,0.5344229416520513,0.0,True,12,403,60,1749849256.6624935
-33.86000000000199,5000,0.5344229416520513,0.0,True,13,414,61,1749849256.6629877
-35.030000000001706,5000,0.5344229416520513,0.0,True,12,397,62,1749849256.6635466
-33.79000000000188,5000,0.5344229416520513,0.0,True,13,421,63,1749849256.6640012
-34.94000000000159,5000,0.5344229416520513,0.0,True,12,406,64,1749849256.664466
-0.01,1,0.5344229416520513,0.0,False,12,398,65,1749849256.7303748
-0.01,1,0.5344229416520513,0.0,False,13,416,66,1749849256.731372
-0.01,1,0.5344229416520513,0.0,False,12,408,67,1749849256.7318227
-0.01,1,0.5344229416520513,0.0,False,12,403,68,1749849256.7322683
-0.01,1,0.5344229416520513,0.0,False,13,414,69,1749849256.7326744
-0.01,1,0.5344229416520513,0.0,False,12,397,70,1749849256.7330742
-0.01,1,0.5344229416520513,0.0,False,13,421,71,1749849256.7335029
-0.01,1,0.5344229416520513,0.0,False,12,406,72,1749849256.7339008
-31.66000000000258,5000,0.47147873742168567,0.0,True,15,434,73,1749849561.9669912
-34.83000000000175,5000,0.47147873742168567,0.0,True,12,417,74,1749849561.96919
-33.60000000000181,5000,0.47147873742168567,0.0,True,13,440,75,1749849561.9696896
-33.83000000000195,5000,0.47147873742168567,0.0,True,13,417,76,1749849561.970185
-35.82000000000146,5000,0.47147873742168567,0.0,True,11,418,77,1749849561.9707603
-34.78000000000158,5000,0.47147873742168567,0.0,True,12,422,78,1749849561.9712818
-34.690000000001675,5000,0.47147873742168567,0.0,True,12,431,79,1749849561.9717703
-35.91000000000118,5000,0.47147873742168567,0.0,True,11,409,80,1749849561.9722872
-0.01,1,0.47147873742168567,0.0,False,15,434,81,1749849562.0442984
-0.01,1,0.47147873742168567,0.0,False,12,417,82,1749849562.0452366
-0.01,1,0.47147873742168567,0.0,False,13,440,83,1749849562.045704
-0.01,1,0.47147873742168567,0.0,False,13,417,84,1749849562.046119
-0.01,1,0.47147873742168567,0.0,False,11,418,85,1749849562.0465338
-0.01,1,0.47147873742168567,0.0,False,12,422,86,1749849562.046964
-0.01,1,0.47147873742168567,0.0,False,12,431,87,1749849562.0473595
-0.01,1,0.47147873742168567,0.0,False,11,409,88,1749849562.047828
-33.71000000000178,5000,0.4159480862733536,0.0,True,13,429,89,1749849868.8852658
-35.93000000000171,5000,0.4159480862733536,0.0,True,11,407,90,1749849868.8868928
-34.760000000001575,5000,0.4159480862733536,0.0,True,12,424,91,1749849868.8875763
-36.9500000000012,5000,0.4159480862733536,0.0,True,10,405,92,1749849868.8880932
-38.38000000000089,5000,0.4159480862733536,0.0,True,9,362,93,1749849868.8885877
-34.7500000000016,5000,0.4159480862733536,0.0,True,12,425,94,1749849868.8891482
-35.800000000001475,5000,0.4159480862733536,0.0,True,11,420,95,1749849868.8896782
-36.09000000000171,5000,0.4159480862733536,0.0,True,11,391,96,1749849868.8901658
-0.01,1,0.4159480862733536,0.0,False,13,429,97,1749849868.950479
-0.01,1,0.4159480862733536,0.0,False,11,407,98,1749849868.9514046
-0.01,1,0.4159480862733536,0.0,False,12,424,99,1749849868.9518385
-0.01,1,0.4159480862733536,0.0,False,10,405,100,1749849868.9522474
-0.01,1,0.4159480862733536,0.0,False,9,362,101,1749849868.9527009
-0.01,1,0.4159480862733536,0.0,False,12,425,102,1749849868.9531136
-0.01,1,0.4159480862733536,0.0,False,11,420,103,1749849868.95351
-0.01,1,0.4159480862733536,0.0,False,11,391,104,1749849868.9539008
-32.65000000000235,5000,0.3669578217261671,0.0,True,14,435,105,1749850185.028668
-34.710000000001585,5000,0.3669578217261671,0.0,True,12,429,106,1749850185.0301716
-33.47000000000185,5000,0.3669578217261671,0.0,True,13,453,107,1749850185.0307207
-34.81000000000176,5000,0.3669578217261671,0.0,True,12,419,108,1749850185.0312169
-34.7400000000014,5000,0.3669578217261671,0.0,True,12,426,109,1749850185.031719
-38.39000000000125,5000,0.3669578217261671,0.0,True,9,361,110,1749850185.0322337
-33.64000000000177,5000,0.3669578217261671,0.0,True,13,436,111,1749850185.0327175
-34.72000000000173,5000,0.3669578217261671,0.0,True,12,428,112,1749850185.0331578
-0.01,1,0.3669578217261671,0.0,False,14,435,113,1749850185.1062846
-0.01,1,0.3669578217261671,0.0,False,12,429,114,1749850185.107446
-0.01,1,0.3669578217261671,0.0,False,13,453,115,1749850185.1080081
-0.01,1,0.3669578217261671,0.0,False,12,419,116,1749850185.108676
-0.01,1,0.3669578217261671,0.0,False,12,426,117,1749850185.1091259
-0.01,1,0.3669578217261671,0.0,False,9,361,118,1749850185.1095595
-0.01,1,0.3669578217261671,0.0,False,13,436,119,1749850185.1100452
-0.01,1,0.3669578217261671,0.0,False,12,428,120,1749850185.1104648
-34.78000000000215,5000,0.3237376186352221,0.0,True,12,422,121,1749850501.42123
-35.85000000000155,5000,0.3237376186352221,0.0,True,11,415,122,1749850501.4222932
-33.7800000000013,5000,0.3237376186352221,0.0,True,13,422,123,1749850501.4227965
-34.71000000000159,5000,0.3237376186352221,0.0,True,12,429,124,1749850501.4232924
-33.83000000000266,5000,0.3237376186352221,0.0,True,13,417,125,1749850501.423772
-36.080000000001526,5000,0.3237376186352221,0.0,True,11,392,126,1749850501.42426
-34.78000000000142,5000,0.3237376186352221,0.0,True,12,422,127,1749850501.424761
-33.65000000000223,5000,0.3237376186352221,0.0,True,13,435,128,1749850501.425211
-0.01,1,0.3237376186352221,0.0,False,12,422,129,1749850501.4933214
-0.01,1,0.3237376186352221,0.0,False,11,415,130,1749850501.494339
-0.01,1,0.3237376186352221,0.0,False,13,422,131,1749850501.4948452
-0.01,1,0.3237376186352221,0.0,False,12,429,132,1749850501.4952738
-0.01,1,0.3237376186352221,0.0,False,13,417,133,1749850501.4956744
-0.01,1,0.3237376186352221,0.0,False,11,392,134,1749850501.4960952
-0.01,1,0.3237376186352221,0.0,False,12,422,135,1749850501.4964848
-0.01,1,0.3237376186352221,0.0,False,13,435,136,1749850501.4968886
-34.74000000000179,5000,0.285607880564032,0.0,True,12,426,137,1749850820.0963485
-34.81000000000191,5000,0.285607880564032,0.0,True,12,419,138,1749850820.0978365
-35.86000000000158,5000,0.285607880564032,0.0,True,11,414,139,1749850820.098325
-35.72000000000158,5000,0.285607880564032,0.0,True,11,428,140,1749850820.0987878
-37.130000000001104,5000,0.285607880564032,0.0,True,10,387,141,1749850820.0992556
-34.900000000002265,5000,0.285607880564032,0.0,True,12,410,142,1749850820.0997362
-35.820000000001336,5000,0.285607880564032,0.0,True,11,418,143,1749850820.100206
-33.67000000000199,5000,0.285607880564032,0.0,True,13,433,144,1749850820.1006474
-0.01,1,0.285607880564032,0.0,False,12,426,145,1749850820.1689963
-0.01,1,0.285607880564032,0.0,False,12,419,146,1749850820.1704297
-0.01,1,0.285607880564032,0.0,False,11,414,147,1749850820.1712239
-0.01,1,0.285607880564032,0.0,False,11,428,148,1749850820.1716545
-0.01,1,0.285607880564032,0.0,False,10,387,149,1749850820.1720896
-0.01,1,0.285607880564032,0.0,False,12,410,150,1749850820.172504
-0.01,1,0.285607880564032,0.0,False,11,418,151,1749850820.1729445
-0.01,1,0.285607880564032,0.0,False,13,433,152,1749850820.1733544
-34.77000000000197,5000,0.2519690537792925,0.0,True,12,423,153,1749851138.641328
-36.08000000000185,5000,0.2519690537792925,0.0,True,11,392,154,1749851138.6428716
-35.82000000000139,5000,0.2519690537792925,0.0,True,11,418,155,1749851138.6433575
-35.7800000000014,5000,0.2519690537792925,0.0,True,11,422,156,1749851138.643844
-35.18000000000122,5000,0.2519690537792925,0.0,True,12,382,157,1749851138.6443202
-34.86000000000173,5000,0.2519690537792925,0.0,True,12,414,158,1749851138.6448421
-33.670000000002005,5000,0.2519690537792925,0.0,True,13,433,159,1749851138.6453762
-32.72000000000197,5000,0.2519690537792925,0.0,True,14,428,160,1749851138.6458707
-0.01,1,0.2519690537792925,0.0,False,12,423,161,1749851138.7175448
-0.01,1,0.2519690537792925,0.0,False,11,392,162,1749851138.718693
-0.01,1,0.2519690537792925,0.0,False,11,418,163,1749851138.7192683
